sender_upi,receiver_upi,amount,hour_of_day,day_of_week,location,txn_type,device_id,is_new_device,num_txn_last_1hr,num_txn_last_24hr,avg_amount_last_week,is_new_receiver,label
qaedl@okaxis,wrsyze@okhdfcbank,330.0,7,5,Hyderabad,P2P,dev_4018,0,0,2,2902.48,0,0
jbmptnyev@okaxis,shsmfewt@okaxis,592.63,17,4,Delhi,Bill,dev_3001,0,1,4,2967.72,0,0
nmiloe@okicici,ltpocab@okaxis,672.7,10,4,Pune,QR_Scan,dev_4335,0,0,3,3064.33,0,0
dcpfp@okaxis,inqxwbd@okhdfcbank,642.56,0,2,Bengaluru,QR_Scan,dev_1657,0,3,8,2748.61,0,0
sppdyge@ybl,ysuwdmf@paytm,339.82,17,5,Bengaluru,Bill,dev_2171,0,1,4,1735.27,0,0
eululs@okicici,ncsdiprdf@oksbi,373.37,22,3,Bengaluru,P2P,dev_2113,1,0,7,2948.9,0,0
xlnsrmn@okhdfcbank,bazrbhhza@okicici,770.75,1,1,Kolkata,Bill,dev_2643,0,1,4,1466.64,0,0
zphpap@okhdfcbank,yfdysvfuy@paytm,1018.27,1,4,Jaipur,QR_Scan,dev_4598,0,1,3,428.83,0,0
xdpqtz@okicici,afjrkdoo@okhdfcbank,127.39,16,4,Chennai,QR_Scan,dev_2163,0,1,4,3051.47,0,0
pjxrnrj@ybl,cunvajpr@okaxis,1058.99,2,5,Bengaluru,Bill,dev_4039,0,1,5,2387.96,0,0
fwgohrq@paytm,iqhckqxm@paytm,418.24,3,2,Mumbai,P2P,dev_2408,0,2,3,2743.45,0,0
wjlzxceg@okhdfcbank,bhrkum@okaxis,688.33,11,2,Chennai,Merchant,dev_1607,0,1,4,1399.72,0,0
jxwwanfg@oksbi,hwhbgmwh@oksbi,1939.14,2,0,Jaipur,Bill,dev_647,0,5,11,4521.54,0,0
sdolertp@okaxis,qesjhkhm@paytm,656.81,1,5,Jaipur,QR_Scan,dev_2265,0,1,3,3027.03,1,0
zijabyney@okhdfcbank,zshmir@okicici,407.03,4,4,Kolkata,QR_Scan,dev_1285,0,1,4,4336.09,0,0
olocf@okaxis,gxutob@okaxis,2671.23,15,3,Kolkata,Merchant,dev_2038,0,2,4,3395.0,0,0
luergkhm@oksbi,xafnhmwhp@ybl,393.68,12,5,Kolkata,Bill,dev_3317,0,1,5,3327.73,0,0
dhyyzb@oksbi,kwbmtslso@okaxis,557.62,18,5,Delhi,QR_Scan,dev_3364,1,3,6,3565.19,1,0
xosmskdgo@okaxis,qfdhkszx@okaxis,892.26,3,2,Mumbai,Bill,dev_4767,0,1,7,4017.67,0,0
dvlstaqn@ybl,fbziware@ybl,297.98,6,3,Pune,Bill,dev_1087,0,1,3,4807.77,0,0
xiqqmrt@oksbi,mgdmqhcyp@oksbi,150.73,0,1,Jaipur,Merchant,dev_4227,0,1,2,4576.17,0,0
dvnmj@okicici,grzfj@oksbi,353.78,9,4,Pune,Merchant,dev_2056,0,0,3,4584.77,0,0
caiawerd@oksbi,obwdhai@paytm,146.21,13,5,Chennai,QR_Scan,dev_20,0,1,4,4557.32,1,0
zqqltxi@okhdfcbank,goaoru@okicici,135.67,15,1,Jaipur,Bill,dev_4228,0,2,8,243.21,0,0
vrbwftl@okicici,zwribedt@ybl,801.04,2,2,Chennai,Merchant,dev_2225,0,0,3,3934.62,1,0
apqokdnc@ybl,ttgbwj@oksbi,1664.25,20,4,Hyderabad,P2P,dev_2261,0,2,4,2668.69,0,0
noaail@okicici,enffswxa@paytm,240.45,21,0,Bengaluru,P2P,dev_4516,0,0,3,1044.6,1,0
pjqovdp@paytm,pvjuzfix@oksbi,104.93,13,6,Pune,Bill,dev_452,0,2,7,1179.95,1,0
thoab@paytm,gvsffkks@okaxis,154.3,8,3,Bengaluru,Merchant,dev_4481,0,2,2,3125.96,0,0
qolxwej@paytm,oooqs@ybl,51.8,7,0,Pune,P2P,dev_3439,0,1,3,4057.82,0,0
svuyo@okicici,oljczjrjd@ybl,420.42,2,3,Mumbai,P2P,dev_3604,0,0,4,3768.99,0,0
jmdturpyg@okhdfcbank,vufbx@okhdfcbank,1251.96,20,2,Chennai,QR_Scan,dev_305,0,2,3,162.81,0,0
vhoenxgad@okhdfcbank,phqtwkgrx@paytm,1980.18,5,1,Mumbai,Merchant,dev_2297,0,1,3,3251.57,0,0
usesf@okicici,hagchgmu@okicici,780.95,15,6,Bengaluru,P2P,dev_2656,0,3,4,1768.7,0,0
cuxwmh@oksbi,gjccrsey@okhdfcbank,32512.67,2,5,Chennai,P2P,dev_4627,1,14,36,1541.82,1,1
mummjqi@okhdfcbank,sjxllh@okicici,1098.4,1,0,Mumbai,P2P,dev_4759,0,0,3,4488.84,1,0
cglvnt@okhdfcbank,gqaiwhjf@okicici,368.67,11,0,Delhi,P2P,dev_1934,0,0,1,749.16,0,0
ydprzvsyw@ybl,orivpdja@okaxis,4086.47,17,6,Jaipur,QR_Scan,dev_3681,1,1,7,1983.83,1,0
ievqms@paytm,xhvddlepp@okhdfcbank,572.58,5,5,Chennai,QR_Scan,dev_2228,1,2,4,1884.15,0,0
qudxnrll@okicici,hvriu@oksbi,381.36,10,0,Hyderabad,QR_Scan,dev_4996,0,0,2,1648.57,0,0
osvtyg@oksbi,gpvdh@ybl,282.8,9,4,Chennai,Merchant,dev_989,0,1,5,1281.21,0,0
vqxhbgs@ybl,nsziny@paytm,320.72,8,4,Chennai,Merchant,dev_478,0,0,4,3156.55,0,0
wrgvo@okicici,emvmv@paytm,79.7,11,0,Hyderabad,Bill,dev_3751,0,1,5,4020.11,0,0
qzxwsjp@ybl,dgirqzv@ybl,521.96,14,0,Bengaluru,Bill,dev_2457,1,0,5,4008.63,0,0
byvzatrde@okicici,zdedidd@paytm,672.52,20,4,Kolkata,Bill,dev_2001,0,1,4,979.32,1,0
dkjhhjm@paytm,ffshzhllj@okaxis,234.43,5,2,Mumbai,QR_Scan,dev_3525,0,2,3,801.14,0,0
icjqox@paytm,jtunpvfgj@okaxis,300.9,8,5,Mumbai,P2P,dev_2618,0,1,6,468.06,0,0
jccgbrl@ybl,dorqh@okhdfcbank,4120.86,19,6,Mumbai,Bill,dev_1135,0,2,6,485.37,1,0
vofbcmbto@okhdfcbank,jgkdvq@oksbi,1089.18,19,5,Bengaluru,QR_Scan,dev_1035,1,0,2,2661.92,0,0
gawxrttb@oksbi,dnnsdr@okhdfcbank,269.22,5,5,Pune,Merchant,dev_1874,0,2,4,2888.39,0,0
ahnqs@okhdfcbank,yeokbugez@okhdfcbank,382.64,10,0,Hyderabad,Merchant,dev_2278,0,3,8,887.7,0,0
ogngcmxc@paytm,ojwvi@ybl,2917.24,16,2,Kolkata,QR_Scan,dev_3084,1,1,6,4164.67,0,0
fwburb@okicici,xeadq@oksbi,231.52,22,2,Delhi,P2P,dev_1536,0,0,1,430.77,0,0
qoffga@ybl,lecgcdejw@ybl,940.24,11,0,Jaipur,Bill,dev_3232,0,1,3,1529.01,0,0
ldanangob@okicici,vsuxjzcmg@ybl,10.0,6,3,Pune,Merchant,dev_2093,0,2,3,821.96,0,0
zjrxfnrsx@okicici,snlne@paytm,303.56,0,0,Mumbai,Bill,dev_4439,0,0,3,2711.06,1,0
vjlqqeaog@paytm,fdnck@paytm,781.49,0,1,Kolkata,Merchant,dev_2496,0,2,4,1907.25,0,0
eqkuwok@okicici,xmkguaih@paytm,80.93,2,4,Kolkata,Merchant,dev_42,0,1,6,613.81,0,0
sgwnm@ybl,qjorvv@oksbi,228.3,12,5,Pune,P2P,dev_1096,0,0,5,4357.84,0,0
khton@okaxis,tpahi@okhdfcbank,263.34,3,4,Mumbai,P2P,dev_2969,0,0,3,2438.74,0,0
vojwsswrr@oksbi,opsgxacj@paytm,1866.28,13,5,Mumbai,Bill,dev_4815,1,3,3,619.67,0,0
cfdhgoo@oksbi,zosexqago@oksbi,249.18,20,4,Delhi,QR_Scan,dev_272,1,3,7,2965.96,0,0
ppnan@oksbi,czvtjcuu@okicici,886.51,20,1,Bengaluru,Merchant,dev_3186,0,2,5,4483.3,0,0
trpivq@okicici,sgdhaj@ybl,188.18,0,6,Mumbai,Bill,dev_3942,0,0,4,4070.31,0,0
ejmfvt@oksbi,tjavdmfhi@okicici,638.19,0,4,Hyderabad,Bill,dev_4401,0,2,5,1473.69,0,0
nvwcqytw@ybl,ulohhse@okicici,1537.27,6,6,Bengaluru,QR_Scan,dev_4417,0,1,6,4427.6,1,0
jcqbkws@okhdfcbank,sltlggpkr@ybl,1076.6,8,2,Mumbai,QR_Scan,dev_2207,0,1,4,3467.36,0,0
dlqpofxj@okhdfcbank,gkzgp@okhdfcbank,1727.05,3,3,Jaipur,Bill,dev_4236,0,1,4,3248.59,0,0
qrtfnie@ybl,gmcxnumt@oksbi,2451.19,10,6,Jaipur,Merchant,dev_2710,0,1,6,1248.49,0,0
swgevnbpo@paytm,nfuflxf@okicici,231.51,1,2,Chennai,Bill,dev_3646,0,2,9,3788.84,0,0
wpxclz@okaxis,ucigpuu@okicici,1755.18,14,1,Jaipur,Bill,dev_494,1,2,5,922.71,0,0
hmemi@ybl,vsjiiofgm@ybl,277.98,8,2,Kolkata,P2P,dev_515,0,1,3,3110.06,1,0
phetydl@oksbi,sjsskwmu@okicici,732.52,19,1,Bengaluru,QR_Scan,dev_376,0,0,3,2413.54,0,0
sawdzx@paytm,vkjra@okicici,2280.56,15,0,Delhi,Bill,dev_700,0,2,4,3900.27,0,0
iywylugop@paytm,bkjfxgmaf@oksbi,2665.58,10,6,Pune,P2P,dev_4485,0,1,4,912.53,0,0
dtvuea@paytm,ykorhui@okhdfcbank,1557.4,23,2,Chennai,QR_Scan,dev_3764,0,1,6,4309.05,0,0
sumvmq@okaxis,piyzcgv@oksbi,686.92,5,1,Kolkata,QR_Scan,dev_298,0,2,4,2575.81,0,0
ahuslibvr@okhdfcbank,efgnkhzew@okaxis,10.0,2,6,Bengaluru,QR_Scan,dev_1882,0,2,4,2323.6,1,0
oqkfo@paytm,euqkhjqoe@paytm,1565.78,18,3,Chennai,Bill,dev_1147,0,2,3,2015.16,0,0
jqsziyfhx@okaxis,gnulywo@oksbi,343.22,1,1,Bengaluru,QR_Scan,dev_165,0,2,5,572.81,0,0
ijjikkeq@ybl,bmiydvla@paytm,79.75,15,5,Delhi,P2P,dev_1270,0,0,0,1897.31,0,0
eytwyb@paytm,dpvvo@okaxis,570.1,17,5,Delhi,P2P,dev_646,0,1,6,179.4,0,0
ouvaxpulw@okicici,cjxifschp@ybl,366.63,5,5,Mumbai,QR_Scan,dev_4528,0,2,6,2898.36,0,0
kkngppav@okhdfcbank,osnoasuv@oksbi,307.82,0,5,Delhi,Bill,dev_3537,0,0,7,4294.55,1,0
pkrwb@okhdfcbank,bodrx@okaxis,606.09,14,3,Jaipur,Merchant,dev_3780,0,0,1,4947.07,0,0
osbqu@paytm,ifyjggndn@ybl,25.0,19,5,Bengaluru,Bill,dev_4900,0,0,1,3074.26,0,0
gjejj@ybl,rfuxjrg@okicici,96.21,0,1,Chennai,Merchant,dev_4273,0,2,3,3835.45,0,0
yojwmpkk@okhdfcbank,encwxogkr@paytm,170.38,7,3,Delhi,QR_Scan,dev_2107,0,4,5,4747.81,0,0
pepgsai@oksbi,zocxjimpc@okhdfcbank,782.01,16,5,Pune,QR_Scan,dev_2064,0,1,5,1127.9,0,0
imunio@oksbi,buepmjg@okaxis,1001.85,18,6,Pune,P2P,dev_1258,0,0,6,3585.7,0,0
tcaof@okicici,flvym@ybl,836.52,9,0,Mumbai,Merchant,dev_2256,0,2,5,2547.23,0,0
hbxza@paytm,vkpuidi@okhdfcbank,32.05,15,0,Bengaluru,QR_Scan,dev_3166,0,2,7,1411.12,1,0
anwhhn@ybl,hihovgiae@okicici,3201.46,6,6,Bengaluru,Bill,dev_4134,0,1,1,2303.97,0,0
scupp@okicici,jjlwobs@okhdfcbank,326.15,3,6,Hyderabad,P2P,dev_4594,0,1,3,836.21,0,0
cvtdavh@paytm,vetltt@ybl,62.51,21,6,Kolkata,P2P,dev_2763,0,1,6,3516.64,0,0
nawihfguf@oksbi,hiogtkfvw@ybl,123.39,3,3,Jaipur,QR_Scan,dev_243,0,0,5,3911.72,1,0
ssyzvggpg@ybl,jslpdpf@oksbi,1606.18,11,3,Mumbai,QR_Scan,dev_1967,0,1,4,1077.08,1,0
rxnttt@okaxis,hbupxtc@ybl,49.63,7,0,Hyderabad,P2P,dev_1852,0,0,1,1742.52,1,0
sfsvxhfn@okaxis,uhchwpcl@okhdfcbank,92812.74,3,4,Jaipur,P2P,dev_5716,1,5,12,2044.66,1,1
teljebax@okhdfcbank,nmyeusihg@oksbi,214.46,10,4,Delhi,QR_Scan,dev_3160,0,4,9,4093.01,0,0
jjozgbi@ybl,uufdksvz@paytm,380.63,20,6,Kolkata,P2P,dev_2833,0,2,7,3635.97,0,0
zuayog@okaxis,xhnmu@ybl,1237.69,21,0,Hyderabad,Bill,dev_1650,0,1,5,2414.77,0,0
xzdqtka@paytm,gsisqgbe@oksbi,1066.57,15,1,Hyderabad,Merchant,dev_557,0,1,4,3530.79,0,0
ejkdm@okicici,kcyazvetf@okicici,2159.88,1,3,Pune,P2P,dev_2161,0,0,3,3630.27,0,0
mhwipo@okaxis,jsoejxqw@okaxis,10.0,9,5,Jaipur,Merchant,dev_3182,0,0,1,1095.13,0,0
fegfxscfc@okaxis,xunqoffck@okhdfcbank,112.14,22,5,Delhi,P2P,dev_1096,0,0,5,578.84,0,0
mxxpdcv@okicici,obicyjrop@paytm,205.32,0,6,Mumbai,Bill,dev_968,0,3,5,4883.39,1,0
byykme@ybl,yjrhpm@okhdfcbank,1485.06,15,3,Mumbai,P2P,dev_2753,0,1,5,863.93,0,0
bnwhfiah@paytm,ybrai@okicici,10.0,6,5,Pune,P2P,dev_3178,1,1,6,4724.18,0,0
zotbindd@okaxis,xqmtqswau@okicici,1676.71,2,2,Bengaluru,Merchant,dev_2956,0,3,5,3225.13,0,0
feskuuc@okicici,gucbyh@ybl,137.04,22,5,Chennai,Bill,dev_3090,0,1,5,4029.2,1,0
jnbsqubn@ybl,vfhqvgr@okicici,2475.75,8,0,Hyderabad,Merchant,dev_3386,1,4,5,2309.96,1,0
qhnda@paytm,wdvdvx@paytm,488.99,3,2,Hyderabad,P2P,dev_2098,0,0,4,1465.58,0,0
gojnpblb@paytm,fdvugwpw@okhdfcbank,1191.18,13,5,Mumbai,Bill,dev_554,1,2,4,413.92,1,0
ifqhcr@okaxis,ncvnir@oksbi,1664.07,7,1,Hyderabad,P2P,dev_796,1,0,4,2606.63,0,0
uxhlivdmb@okaxis,xzrunyboh@okaxis,76.98,19,3,Pune,P2P,dev_900,0,0,4,3657.82,0,0
ntatlh@okhdfcbank,iydpwdn@okicici,244.74,7,2,Hyderabad,Bill,dev_2107,1,0,1,1468.55,0,0
uqamb@okicici,heqdlr@okhdfcbank,637.82,18,4,Mumbai,Bill,dev_2681,0,1,3,1880.83,0,0
vjdldq@okhdfcbank,sriquc@okaxis,740.93,12,1,Mumbai,Merchant,dev_4864,0,1,4,3769.26,1,0
oyaqpcyen@paytm,daonaq@paytm,203.93,3,4,Bengaluru,Bill,dev_4899,0,0,4,4355.07,0,0
inwzes@paytm,mlkiapsp@okaxis,150.38,20,1,Hyderabad,P2P,dev_1822,0,2,7,3744.79,0,0
lxkezww@ybl,vstbxsuv@oksbi,541.62,23,6,Kolkata,QR_Scan,dev_671,1,2,6,3597.73,0,0
xrxaolsl@okaxis,mpqcbvh@okaxis,203.2,6,6,Chennai,Bill,dev_98,1,0,2,4069.77,0,0
aweyvpv@okicici,sckrnde@okicici,442.79,0,6,Kolkata,Bill,dev_2532,1,0,2,4658.17,0,0
gmvymv@oksbi,uvtkb@ybl,589.63,15,5,Delhi,QR_Scan,dev_3909,0,0,3,3349.75,0,0
bmnsobsi@oksbi,kvxjy@ybl,65.76,0,4,Bengaluru,Bill,dev_604,0,0,3,2222.18,0,0
tlwbpucyt@okaxis,fnydboh@ybl,105.26,17,4,Kolkata,QR_Scan,dev_1081,0,1,4,3741.49,0,0
cohbxjt@okhdfcbank,jclzub@okaxis,547.45,11,6,Mumbai,P2P,dev_3790,0,0,2,3320.63,0,0
vqxljlrfz@okaxis,qdwxhix@ybl,139.37,4,6,Kolkata,Merchant,dev_875,0,2,5,808.67,0,0
rykck@oksbi,frvmvghfu@paytm,248.99,20,1,Hyderabad,P2P,dev_887,0,0,3,3000.91,0,0
jqjmsayl@ybl,lrwtdhwit@okicici,863.14,20,0,Chennai,QR_Scan,dev_3750,0,0,2,348.15,1,0
gwraoz@okicici,vzgpb@okhdfcbank,974.64,10,1,Bengaluru,P2P,dev_2370,0,3,5,1598.54,0,0
olymbb@okaxis,jkauykk@okicici,116.48,11,6,Chennai,Bill,dev_148,0,2,6,1903.75,0,0
asnfurp@okaxis,yqslmofc@paytm,311.54,12,4,Kolkata,Merchant,dev_2479,0,0,4,1024.7,0,0
fgnggdtvu@paytm,qqsgzc@oksbi,2145.3,19,5,Mumbai,Merchant,dev_3752,0,3,8,4593.33,0,0
uqdrduc@okhdfcbank,ruteivwx@okicici,39.9,23,1,Mumbai,P2P,dev_3437,0,0,3,4303.81,0,0
fekgvfp@ybl,sbnevd@paytm,1310.76,5,0,Jaipur,Bill,dev_2727,0,4,6,1678.27,0,0
nzdvzre@paytm,spzdw@oksbi,562.1,21,0,Jaipur,Merchant,dev_3981,1,1,2,2565.59,0,0
jeqrypbdq@ybl,bxtftq@oksbi,496.0,13,1,Jaipur,Bill,dev_852,0,2,7,1608.68,1,0
zlukl@okaxis,llnbby@paytm,521.56,19,6,Mumbai,QR_Scan,dev_3850,0,1,1,2540.08,0,0
